compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status
Vortioxetine,NA,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK
Amitriptyline,NA,TCA,SERT and NET,Depression,Approved,1961,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK
Nortriptyline,NA,TCA,SERT and NET,Depression,Approved,1964,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,4543,OK
Imipramine,NA,TCA,SERT and NET,Depression,Approved,1957,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,BCGWQEUPMDMJNV-UHFFFAOYSA-N,3696,OK
Clomipramine,NA,TCA,SERT and NET,Depression/OCD,Approved,1989,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,GDLIGKIOYRNHDA-UHFFFAOYSA-N,2801,OK
Doxepin,NA,TCA,SERT and NET,Depression/Insomnia,Approved,1969,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,ODQWQRRAPPTVAG-UHFFFAOYSA-N,3158,OK
Trimipramine,NA,TCA,SERT and NET,Depression,Approved,1979,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,ZSCDBOWYZJWBIY-UHFFFAOYSA-N,5584,OK
Protriptyline,NA,TCA,SERT and NET,Depression,Approved,1967,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,BWPIARFWQZKAIA-UHFFFAOYSA-N,4976,OK
Maprotiline,NA,Tetracyclic antidepressant,Norepinephrine Transporter (NET),Depression,Approved,1980,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,QSLMDECMDJKHMQ-UHFFFAOYSA-N,4011,OK
Reboxetine,NA,NRI,Norepinephrine Transporter (NET),Depression,Approved,1997 (UK),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3,CBQGYUDMJHNJBX-RTBURBONSA-N,127151,OK
Agomelatine,NA,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK
Tianeptine,NA,Atypical antidepressant,Full MOA complex; affects glutamate/AMPA,Depression,Approved,1988 (France),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1C2=CC=CC=C2C(C3=C(S1(=O)=O)C=C(C=C3)Cl)NCCCCCCC(=O)O,JICJBGPOMZQUBB-UHFFFAOYSA-N,68870,OK
Phenelzine,NA,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1961,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)CCNN,RMUCZJUITONUFY-UHFFFAOYSA-N,3675,OK
Tranylcypromine,NA,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1961,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1C(C1N)C2=CC=CC=C2,AELCINSCMGFISI-UHFFFAOYSA-N,5530,OK
Isocarboxazid,NA,MAOI,Monoamine Oxidase (MAO) A and B,Depression,Approved,1959,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,3759,OK
Selegiline,NA,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@H](CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK
Esketamine,NA,NDMA antagonist,NMDA receptor,Depression,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK
Lamotrigine,NA,Na+ channel modulator,Voltage-gated Na+ channels,Epilepsy/Bipolar,Approved,1994,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,PYZRQGJRPPTADH-UHFFFAOYSA-N,3878,OK
Valproate,NA,HDAC modulator,HDAC and Voltage-gated Na+ channels,Epilepsy/Bipolar,Approved,1994,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCCC(CCC)C(=O)[O-],NIJJYAXOARWZEE-UHFFFAOYSA-M,3549980,OK
Carbamazepine,NA,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2004,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,FFGPTBGBLSHEPO-UHFFFAOYSA-N,2554,OK
Oxcarbazepine,NA,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,CTRLABGOLIVAIY-UHFFFAOYSA-N,34312,OK
Topiramate,NA,Na+ channel modulator,Na+ channels and GABA-A receptors,Epilepsy/Migraine,Approved,1996,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,KJADKKWYZYXHBB-XBWDGYHZSA-N,5284627,OK
Haloperidol,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1967,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,LNEPOXFFQSENCJ-UHFFFAOYSA-N,3559,OK
Chlorpromazine,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1957,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,2726,OK
Fluphenazine,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1959,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,PLDUPXSUYLZYBN-UHFFFAOYSA-N,3372,OK
Perphenazine,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1957,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,RGCVKNLCSQQDEP-UHFFFAOYSA-N,4748,OK
Clozapine,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,1989,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,QZUDBNBUXVUHMW-UHFFFAOYSA-N,135398737,OK
Olanzapine,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia/Bipolar,Approved,1996,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,KVWDHTXUZHCGIO-UHFFFAOYSA-N,135398745,OK
Quetiapine,NA,D2 antagonist,Dopamine D2 and 5-HT2A receptors,Schizophrenia/Bipolar,Approved,1997,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,URKOMYMAXPYINW-UHFFFAOYSA-N,5002,OK
Risperidone,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,1993,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,RAPZEAPATHNIPO-UHFFFAOYSA-N,5073,OK
Paliperidone,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,2006,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,PMXMIIMHBWHSKN-UHFFFAOYSA-N,115237,OK
Ziprasidone,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,MVWVFYHBGMAFLY-UHFFFAOYSA-N,60854,OK
Aripiprazole,NA,D2 partial agonist,D2 partial agonist and 5-HT2A antagonist,Schizophrenia/Bipolar,Approved,2002,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,CEUORZQYGODEFX-UHFFFAOYSA-N,60795,OK
Brexpiprazole,NA,D2 partial agonist,D2 and 5-HT1A receptors,Schizophrenia/MDD adjunct,Approved,2015,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4,ZKIAIYBUSXZPLP-UHFFFAOYSA-N,11978813,OK
Cariprazine,NA,D2/D3 partial agonist,D3 and D2 receptors,Schizophrenia/Bipolar,Approved,2015,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,KPWSJANDNDDRMB-UHFFFAOYSA-N,11154555,OK
Lurasidone,NA,D2 antagonist,D2 and 5-HT7 receptors,Schizophrenia/Bipolar,Approved,2010,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,PQXKDMSYBGKCJA-CVTJIBDQSA-N,213046,OK
Iloperidone,NA,D2 antagonist,D2 and 5-HT2A receptors,Schizophrenia,Approved,2009,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,XMXHEBAFVSFQEX-UHFFFAOYSA-N,71360,OK
Asenapine,NA,D2/5-HT2 antagonist,5-HT2A and D2 receptors,Schizophrenia/Bipolar,Approved,2009,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1C[C@H]2[C@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,163091,OK
Lumateperone,NA,D2/5-HT2 modulator,"5-HT2A and D2 receptors, SERT",Schizophrenia,Approved,2019,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCN2[C@H]3CCN(C[C@H]3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,HOIIHACBCFLJET-SFTDATJTSA-N,21302490,OK
Amisulpride,NA,D2/D3 antagonist,D2 and D3 receptors,Schizophrenia,Approved,2020,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2159,OK
Sulpiride,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1969 (France),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,5355,OK
Pimozide,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia/Tourette,Approved,1984,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,YVUQSNJEYSNKRX-UHFFFAOYSA-N,16362,OK
Molindone,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1974,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,KLPWJLBORRMFGK-UHFFFAOYSA-N,23897,OK
Thiothixene,NA,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1967,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,GFBKORZTTCHDGY-UWVJOHFNSA-N,941651,OK
Perospirone,NA,D2/5-HT2 antagonist,D2 and 5-HT2A receptors,Schizophrenia,Approved,2001 (Japan),NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,FBVFZWUMDDXLLG-HDICACEKSA-N,115368,OK
Methylphenidate,NA,Catecholamine RI,Dopamine transporter (DAT) and Norepinephrine transporter (NET),ADHD,Approved,1955,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,4158,OK
Dexmethylphenidate,NA,Catecholamine RI,DAT and NET (more active d-enantiomer),ADHD,Approved,2001,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-CHWSQXEVSA-N,154101,OK
Amphetamine,NA,Monoamine releaser,"DAT, NET, and Vesicular monoamine transporter 2 (VMAT2)",ADHD,Approved,1937,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(CC1=CC=CC=C1)N,KWTSXDURSIMDCE-UHFFFAOYSA-N,3007,OK
Dextroamphetamine,NA,Monoamine releaser,"DAT, NET, and VMAT2",ADHD,Approved,1976,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@@H](CC1=CC=CC=C1)N,KWTSXDURSIMDCE-QMMMGPOBSA-N,5826,OK
Lisdexamfetamine,NA,Prodrug (amphetamine),Prodrug converted to Dextroamphetamine (targeting DAT and NET),ADHD,Approved,2007,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CCCCN)N,VOBHXZCDAVEXEY-JSGCOSHPSA-N,11597698,OK
Atomoxetine,NA,Selective NRI,Norepinephrine transporter (NET),ADHD,Approved,2002,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,VHGCDTVCOLNTBX-QGZVFWFLSA-N,54841,OK
Guanfacine,NA,_2A_ agonist,_2A_-adrenergic receptor,ADHD,Approved,1986,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,INJOMKTZOLKMBF-UHFFFAOYSA-N,3519,OK
Clonidine,NA,_2_ agonist,"_2A_, _2B_, and _2C_-adrenergic receptors",ADHD/Hypertension,Approved,1974,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,GJSURZIOUXUGAL-UHFFFAOYSA-N,2803,OK
Modafinil,NA,Wakefulness agent,DAT inhibition and modulation of glutamatergic/GABAergic circuits,Narcolepsy,Approved,1998,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-UHFFFAOYSA-N,4236,OK
Armodafinil,NA,Wakefulness agent,DAT inhibition (R-enantiomer of modafinil),Narcolepsy,Approved,2007,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N,YFGHCGITMMYXAQ-LJQANCHMSA-N,9690109,OK
Levetiracetam,NA,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,1999,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC[C@@H](C(=O)N)N1CCCC1=O,HPHUVLMMVZITSG-LURJTMIESA-N,5284583,OK
Brivaracetam,NA,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,2016,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,MSYKRHVOOPPJKU-BDAKNGLRSA-N,9837243,OK
Lacosamide,NA,Na+ channel modulator,Slow inactivation of voltage-gated Na+ channels; also binds to CRMP2,Epilepsy,Approved,2008,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,VPPJLAIAVCUEMN-GFCCVEGCSA-N,219078,OK
Perampanel,NA,AMPA antagonist,AMPA-type glutamate receptors,Epilepsy,Approved,2012,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,PRMWGUBFXWROHD-UHFFFAOYSA-N,9924495,OK
Zonisamide,NA,Sodium channel modulator,Voltage-gated Na+ and T-type Ca2+ channels; carbonic anhydrase inhibition,Epilepsy,Approved,2000,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,5734,OK
Gabapentin,NA,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,1993,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CCC(CC1)(CC(=O)O)CN,UGJMXCAKCUNAIE-UHFFFAOYSA-N,3446,OK
Pregabalin,NA,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,2004,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(C)C[C@@H](CC(=O)O)CN,AYXYPKUFHZROOJ-ZETCQYMHSA-N,5486971,OK
Felbamate,NA,GABA/Glutamate modulator,NMDA receptor antagonist and GABA$_A receptor potentiation,Epilepsy,Approved,1993,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,WKGXYQFOCVYPAC-UHFFFAOYSA-N,3331,OK
Ethosuximide,NA,T-type calcium blocker,T-type voltage-gated Ca2+ channels,Epilepsy,Approved,1960,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC1(CC(=O)NC1=O)C,HAPOVYFOVVWLRS-UHFFFAOYSA-N,3291,OK
Phenytoin,NA,Na+ channel blocker,Voltage-gated Na+ channels (fast inactivation),Epilepsy,Approved,1939,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,CXOFVDLJLONNDW-UHFFFAOYSA-N,1775,OK
Phenobarbital,NA,GABA-A modulator,GABA_A receptor (positive allosteric modulation),Epilepsy,Approved,1912,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,DDBREPKUVSBGFI-UHFFFAOYSA-N,4763,OK
Primidone,NA,Barbiturate derivative,Converted to Phenobarbital (targeting GABA_A) and phenylethylmalonamide,Epilepsy,Approved,1954,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,DQMZLTXERSFNPB-UHFFFAOYSA-N,4909,OK
Rufinamide,NA,Na+ channel modulator,Prolongation of the inactive state of voltage-gated Na+ channels,Epilepsy,Approved,2008,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,POGQSBRIGCQNEG-UHFFFAOYSA-N,129228,OK
Clobazam,NA,Benzodiazepine,"GABA_A receptor (1,4-benzodiazepine structure)",Epilepsy,Approved,2011,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CXOXHMZGEKVPMT-UHFFFAOYSA-N,2789,OK
Vigabatrin,NA,GABA-T inhibitor,GABA transaminase (irreversible inhibition),Epilepsy,Approved,2009,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C=CC(CCC(=O)O)N,PJDFLNIOAUIZSL-UHFFFAOYSA-N,5665,OK
Tiagabine,NA,GABA reuptake inhibitor,GAT-1 GABA transporter,Epilepsy,Approved,1997,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,PBJUNZJWGZTSKL-MRXNPFEDSA-N,60648,OK
Stiripentol,NA,GABA modulator,GABA_A receptor modulation and inhibition of CYP450 enzymes,Epilepsy,Approved,2018,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,IBLNKMRFIPWSOY-FNORWQNLSA-N,5311454,OK
Eslicarbazepine,NA,Na+ channel blocker,Voltage-gated Na+ channels,Epilepsy,Approved,2013,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1[C@@H](C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,BMPDWHIDQYTSHX-AWEZNQCLSA-N,9881504,OK
Donepezil,NA,AChE inhibitor,Acetylcholinesterase (AChE),Alzheimer disease,Approved,1996,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,ADEBPBSSDYVVLD-UHFFFAOYSA-N,3152,OK
