compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V24,Rationale V24,Metabolic Stability V24,Toxic Fragments V24,P1 Prob V24,P1 Rationale V24,P2 Prob V24,P2 Rationale V24,P3 Prob V24,P3 Rationale V24,TCSP V24,Salah Verdict V24,Biological Risk V24
Molindone,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1974,,,approved,CNS,,approved_control,Approved controls (success),CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,KLPWJLBORRMFGK-UHFFFAOYSA-N,23897,OK,1974.0,25,"This structure is a refreshing departure from the bloated, lipophilic garbage usually paraded through my office. It is a masterclass in CNS multiparameter optimization. With a molecular weight under 300 Da, a TPSA of ~45 Å², and an estimated cLogP around 2.0, it perfectly threads the needle for rapid blood-brain barrier penetration without relying on gratuitous grease. The LipE potential here is exceptional. Structurally, the tetrahydroindolone core provides a rigid, partially saturated scaffold that precisely vectors the morpholine basic amine for the critical D2 aspartate interaction. The pyrrole ring is fully substituted at the 2 and 3 positions with methyl and ethyl groups, elegantly blocking the most metabolically labile sites. Novice chemists might flag the alpha,beta-unsaturated ketone motif as a Michael acceptor, but they would be fools; the vinylogous electron donation from the pyrrole nitrogen completely neutralizes any electrophilic threat at the beta-carbon. The low molecular weight and optimal lipophilicity predict a low clinical dose burden, effectively eliminating idiosyncratic DILI risk and minimizing hERG liabilities despite the basic amine. However, as advised, the unbuffered D2 antagonism is a pharmacological sledgehammer that guarantees dose-dependent extrapyramidal symptoms (EPS). The chemistry is elite, but the clinical fate rests entirely on threading the therapeutic needle regarding motor tolerability. Tox Summary: Clean.",High,None significant (enone is deactivated by vinylogous pyrrole nitrogen),0.85,"Exceptional physicochemical properties, low molecular weight, and lack of structural alerts predict a highly favorable Phase 1 safety and tolerability profile. The low dose burden minimizes systemic toxicity.",0.85,D2 antagonism is a deeply validated mechanism with near-zero biological uncertainty for efficacy in CNS indications. Target engagement is guaranteed given the optimal BBB penetration.,0.4,"The primary hurdle is Phase 3 chronic safety, specifically the emergence of extrapyramidal symptoms (EPS) and tardive dyskinesia due to unbuffered D2 blockade. The therapeutic index will dictate approval.",0.289,ELITE,"Dopamine D2 receptor antagonism is one of the most deeply validated mechanisms in neuropsychopharmacology, providing the foundational efficacy for antipsychotic and anti-emetic therapies. The biological uncertainty for efficacy is near zero; the pathway is completely characterized. However, the clinical attrition risk for this class shifts entirely from efficacy to tolerability. Unbuffered D2 antagonism (lacking concurrent 5-HT2A antagonism or partial agonism) guarantees dose-dependent, on-target extrapyramidal symptoms (EPS), tardive dyskinesia, and hyperprolactinemia. Structurally, this candidate is a low-molecular-weight, basic amine (morpholine-containing) scaffold, which is classically optimized for rapid blood-brain barrier penetration. This high CNS multiparameter optimization predicts a low clinical dose burden (<50-100mg), which effectively neutralizes hepatic liability and idiosyncratic DILI risk. While the efficacy is biologically guaranteed, clinical success will hinge entirely on the therapeutic index regarding motor side effects. Because the mechanism is definitively proven and the dose-toxicity risk is low, it earns an ELITE rating for biological feasibility."
Thiothixene,,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1967,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,GFBKORZTTCHDGY-UWVJOHFNSA-N,941651,OK,1967.0,88,"The molecule presents a classic 'dirty' CNS profile. While its physicochemical properties (MW 443, TPSA ~44 Å², cLogP ~4) are well-tuned for blood-brain barrier penetration, the structural architecture is fundamentally flawed. The molecule features a strongly basic piperazine (pKa > 8) tethered via a 3-carbon linker to a highly lipophilic, rigid tricyclic thioxanthene core. This is a textbook hERG pharmacophore, triggering a Hard Kill for cardiovascular safety (QTc prolongation) with no target-class exemption. Furthermore, this lipophilic-basic amine combination guarantees massive polypharmacology across the aminergic GPCR family (H1, M1, alpha-1), perfectly aligning with the biological advisory's warning of severe off-target toxicities. The exocyclic double bond introduces a risk of Z/E isomerization, complicating CMC and in vivo exposure profiles. While the dimethylsulfamoyl group attempts to modulate lipophilicity and provide a vector for target interaction, it is insufficient to rescue the scaffold's inherent promiscuity. Combined with the guaranteed on-target EPS liabilities of pure D2 antagonism, the therapeutic index is non-existent. Tox Summary: Not Clean.",Medium,"Thioxanthene core (promiscuous GPCR binder), basic piperazine-alkyl-tricycle motif (hERG pharmacophore)",0.15,Severe hERG liability due to the basic amine-lipophilic core pharmacophore caps Phase 1 probability. High risk of QTc prolongation and acute off-target autonomic effects.,0.4,"Excellent CNS MPO properties ensure brain penetration, and the scaffold is highly optimized for D2 engagement, making efficacy likely if tolerated.",0.04,"Chronic safety is severely compromised by guaranteed on-target motor toxicities (EPS, tardive dyskinesia) and the persistent cardiovascular risk. Capped by hERG Hard Kill.",0.0024,CAUTION,"Dopamine D2 receptor antagonism is a deeply validated, ELITE-level mechanism for efficacy in CNS indications like psychosis and mania. However, the biological risk here is entirely driven by on-target and scaffold-mediated toxicity. Pure D2 antagonism guarantees nigrostriatal pathway blockade, leading to severe Extrapyramidal Symptoms (EPS), akathisia, and long-term tardive dyskinesia, alongside tuberoinfundibular hyperprolactinemia. Furthermore, the tricyclic core linked to a basic piperazine is a notorious pharmacophore for promiscuous polypharmacology—it will almost certainly hit H1 (sedation, weight gain), M1 (anticholinergic tox), and Alpha-1 (orthostatic hypotension). More critically, this lipophilic-basic amine combination is a classic hERG channel blocker, carrying a severe risk of QTc prolongation. While the required clinical dose will likely be low (<50mg) sparing the liver from massive metabolic burden, the therapeutic index is razor-thin due to the guaranteed motor toxicities and cardiovascular liabilities."
Methylphenidate,,Catecholamine RI,Dopamine transporter (DAT) and Norepinephrine transporter (NET),ADHD,Approved,1955,,,approved,CNS,,approved_control,Approved controls (success),COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,4158,OK,1955.0,15,"This is a remarkably efficient, low-molecular-weight (MW ~233) scaffold that perfectly threads the needle for CNS multiparameter optimization. With a cLogP around 2.5, a TPSA of ~38 Å², and a single hydrogen bond donor, it is practically a textbook example of a brain-penetrant vector. The LipE is expected to be exceptionally high. However, from a developability standpoint, the presence of an unhindered methyl ester is a glaring metabolic soft spot. This moiety guarantees rapid, extensive hydrolysis by systemic and hepatic carboxylesterases to the highly polar, inactive carboxylic acid. While this 'soft drug' approach minimizes DILI risk and prevents tissue accumulation, it completely compromises the intrinsic pharmacokinetic half-life, forcing a heavy reliance on advanced controlled-release formulations to achieve a viable therapeutic profile. The secondary amine provides the requisite basic pharmacophore for monoamine transporter engagement without triggering the hERG liability, as the molecule lacks the extended hydrophobic tail and mass required for potent channel block. No MBI or reactive metabolite flags are present. Tox Summary: Clean.",Low,None,0.85,"Exceptional physicochemical properties and absence of structural alerts (hERG, MBI, DILI) ensure a highly favorable Phase 1 safety profile.",0.65,"High CNS penetrance guarantees target engagement, though the rapid ester hydrolysis presents a significant pharmacokinetic hurdle requiring formulation intervention.",0.45,"Chronic safety is supported by the lack of reactive metabolites and rapid clearance, though on-target pharmacology and formulation dependence introduce some attrition risk.",0.248625,ELITE,"The biological premise of catecholamine reuptake inhibition for CNS indications is rock-solid and deeply validated. The mechanism-of-action class has a profound track record for modulating arousal, attention, and mood. The therapeutic hypothesis is direct, and the biological uncertainty is exceptionally low. Structurally, this is a very low molecular weight, highly lipophilic molecule that will easily cross the blood-brain barrier, ensuring high CNS target occupancy at low systemic doses (<50mg). Consequently, the hepatic burden and DILI risk are negligible. The presence of a methyl ester indicates rapid systemic clearance via carboxylesterases; while this necessitates controlled-release formulations to avoid peak-trough behavioral volatility, it prevents chronic tissue accumulation. The primary liabilities are entirely on-target: peripheral sympathomimetic effects (tachycardia, hypertension) and central dopaminergic reward pathway activation (abuse liability). However, these are predictable, monitorable, and historically manageable within this pharmacological class."
Amphetamine,,Monoamine releaser,"DAT, NET, and Vesicular monoamine transporter 2 (VMAT2)",ADHD,Approved,1937,,,approved,CNS,,approved_control,Approved controls (success),CC(CC1=CC=CC=C1)N,KWTSXDURSIMDCE-UHFFFAOYSA-N,3007,OK,1937.0,45,"This is a brutally simple, minimalist pharmacophore. From a pure physicochemical standpoint, it is a masterpiece of efficiency. The alpha-methyl group is a classic MedChem installation to sterically hinder monoamine oxidase (MAO), transforming a rapidly degraded trace amine into an orally bioavailable, long-acting agent. The primary amine (pKa ~10) guarantees the crucial salt bridge with the target's aspartate residue, while the unsubstituted phenyl ring provides the necessary hydrophobic anchor. With a MW under 150, TPSA of 26 Å², and cLogP ~1.8, the LipE is stellar and CNS penetration is absolute. However, the unsubstituted para-position is a glaring soft spot for rapid CYP2D6 oxidation. Furthermore, I must integrate the biological advisory: this scaffold is a non-selective monoamine releaser. The lack of structural complexity means it will hit every monoamine transporter indiscriminately, driving the severe cardiovascular and psychiatric liabilities noted. It is chemically clean but pharmacologically reckless. Tox Summary: Clean chemically (no structural alerts), but biologically hazardous due to unavoidable on-target sympathomimetic toxicity.",Medium,"None (Chemically clean, but the entire scaffold acts as a sympathomimetic trigger)",0.65,"Chemically devoid of idiosyncratic liabilities or hERG risks (the basic amine-to-aromatic spacer is too short), but Phase 1 will be complicated by acute on-target sympathomimetic effects such as dose-dependent tachycardia and hypertension.",0.85,Unquestionable target engagement and profound CNS efficacy. The physicochemical properties guarantee massive brain exposure and receptor activation.,0.15,"Chronic safety is severely compromised by the mechanism. High abuse potential, psychiatric risks, and cardiovascular burden will trigger extreme regulatory pushback and scheduling hurdles.",0.082875,CAUTION,"The mechanism of direct monoamine release (dopamine, norepinephrine, serotonin) is deeply validated for CNS indications, ensuring robust on-target efficacy for conditions requiring cortical stimulation. However, this target class is plagued by profound, unavoidable on-target liabilities. Direct monoamine release in the mesolimbic pathway guarantees high abuse and addiction potential, triggering severe regulatory scrutiny and scheduling hurdles. Furthermore, peripheral sympathomimetic activity drives dose-limiting cardiovascular toxicity, including hypertension, tachycardia, and increased risk of major adverse cardiovascular events (MACE). While the required dose is likely low (sparing the liver from DILI), the psychiatric risks (psychosis, severe anxiety) and cardiovascular burden make clinical development highly precarious for any novel chemical entity in this class unless the therapeutic window is exceptionally wide or the indication is severe enough to justify the risks."
Dextroamphetamine,,Monoamine releaser,"DAT, NET, and VMAT2",ADHD,Approved,1976,,,approved,CNS,,approved_control,Approved controls (success),C[C@@H](CC1=CC=CC=C1)N,KWTSXDURSIMDCE-QMMMGPOBSA-N,5826,OK,1976.0,45,"From a pure physicochemical standpoint, this molecule is a masterclass in minimalist CNS design. With a MW of 135 and a cLogP of ~1.8, it achieves near-perfect CNS Multiparameter Optimization (MPO). The TPSA of 26 Å² guarantees massive, unhindered blood-brain barrier penetration. The inclusion of the alpha-methyl group is a critical structural feature; it sterically shields the primary amine from rapid oxidative deamination by monoamine oxidase (MAO), transforming a rapidly cleared endogenous-like fragment into an orally bioavailable, long-acting therapeutic. Lipophilic efficiency (LipE) is exceptionally high. Structurally, there are zero hard-kill alerts: the scaffold is far too small to block the hERG channel pore, and its low lipophilicity combined with the anticipated low clinical dose completely eliminates DILI risk. However, as highlighted by the biological advisory, the elegance of the structure is overshadowed by the brutal reality of its pharmacology. The mechanism of forced monoamine efflux inherently carries severe on-target liabilities, including dose-limiting cardiovascular toxicity and profound abuse potential. I am applying the mandated 30-point penalty for target-class stigma and regulatory risk. The molecule will easily prove efficacious, but its clinical survival depends entirely on navigating a minefield of psychiatric adverse events and strict scheduling. Tox Summary: Clean.",Medium,None (Toxicity is entirely mechanism-based/pharmacological),0.85,"Structurally devoid of off-target liabilities (no hERG, no DILI). Phase 1 risk is entirely dictated by on-target cardiovascular responses (tachycardia/hypertension) at higher doses.",0.8,"Near-perfect CNS MPO guarantees massive target exposure. The mechanism is deeply validated, ensuring robust and predictable efficacy.",0.25,"Severe regulatory pushback anticipated due to high abuse liability, addiction potential, and a narrow therapeutic index regarding neuropsychiatric events.",0.17,CAUTION,"The mechanism of monoamine release is deeply validated for CNS indications, offering robust and predictable efficacy. However, the biological risk profile is dominated by severe on-target liabilities. Forced efflux of dopamine and norepinephrine inherently drives high abuse liability, addiction potential, and dose-limiting cardiovascular toxicity (tachycardia, hypertension). Structurally, this is a minimalist, highly lipophilic primary amine that will achieve massive blood-brain barrier penetration, keeping the required clinical dose extremely low (likely <50mg) and effectively eliminating hepatic burden and DILI risk. Clinical attrition in this class is rarely due to lack of efficacy, but rather regulatory pushback over diversion risks and a narrow therapeutic index concerning neuropsychiatric adverse events (insomnia, anxiety, psychosis). The clinical path will be dictated entirely by safety and scheduling, not efficacy."
Guanfacine,,_2A_ agonist,_2A_-adrenergic receptor,ADHD,Approved,1986,,,approved,CNS,,approved_control,Approved controls (success),C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,INJOMKTZOLKMBF-UHFFFAOYSA-N,3519,OK,1986.0,12,"This is a masterclass in physicochemical tuning and ligand efficiency. With a molecular weight under 250 Da, the architecture achieves exceptional Lipophilic Efficiency (LipE). The standout structural feature is the acylguanidine moiety. A standard alkylguanidine (pKa ~13) would be permanently protonated at physiological pH, rendering it a 'brick' incapable of crossing the blood-brain barrier. By conjugating the guanidine to a carbonyl, the electron-withdrawing effect depresses the pKa to approximately 8.0-8.5. This brilliant maneuver ensures a sufficient fraction of the neutral species exists for passive CNS penetration, while still allowing protonation in the receptor pocket to form the critical salt bridge with the conserved aspartate residue of the aminergic GPCR. Furthermore, the 2,6-dichlorophenyl ring is a highly optimized metabolic shield; the ortho-chlorines sterically protect the benzylic methylene from rapid CYP-mediated oxidation and electronically deactivate the aromatic ring against hydroxylation. The high polarity (TPSA ~65) and low lipophilicity (cLogP ~1.5-2.0) perfectly align with CNS MPO guidelines. As the biological advisory notes, the high affinity and low mass burden virtually eliminate idiosyncratic DILI risk. There are no hERG pharmacophores or MBI alerts. Tox Summary: Clean.",High,None,0.85,"Exceptional physicochemical properties, low molecular weight, and absence of reactive metabolites or hERG liabilities strongly predict a clean Phase 1 safety profile. The low anticipated clinical dose further de-risks systemic toxicity.",0.65,"The target is deeply validated for CNS indications. The pKa-tuned acylguanidine guarantees target engagement in the CNS, while the metabolic shielding ensures adequate exposure.",0.45,"Chronic safety is highly probable given the lack of structural alerts and low daily mass burden. Attrition at this stage would be driven solely by on-target sympatholytic pharmacology (e.g., hypotension, sedation), which is manageable via dose titration.",0.248625,ELITE,"Alpha-2A adrenergic agonism is a deeply validated, elite-tier GPCR mechanism for CNS indications. The biology is pristine: it modulates noradrenergic tone via presynaptic feedback and postsynaptic prefrontal cortex enhancement. Unlike graveyard CNS targets (e.g., BACE1), this pathway has a deep, successful clinical track record. The primary liabilities are strictly on-target sympatholytic effects—sedation, hypotension, and bradycardia—which are predictable, monitorable, and manageable via dose titration. Crucially, the small, highly polar architecture (driven by the basic guanidine moiety) dictates high receptor affinity and a very low clinical dose requirement (likely <10 mg/day). This low mass burden means the liver is spared; idiosyncratic DILI risk is virtually zero. A highly rational, low-attrition biological profile."
Clonidine,,_2_ agonist,"_2A_, _2B_, and _2C_-adrenergic receptors",ADHD/Hypertension,Approved,1974,,,approved,CNS,,approved_control,Approved controls (success),C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,GJSURZIOUXUGAL-UHFFFAOYSA-N,2803,OK,1974.0,12,"The molecule is a highly optimized, low-molecular-weight (MW < 250) basic amine designed for optimal CNS penetration. The physicochemical profile is exceptional for a CNS target, featuring a low TPSA (~40 Å²) and a moderate cLogP, ensuring rapid blood-brain barrier crossing without relying on gratuitous lipophilicity. The 2,6-dichloro substitution pattern is a highly effective design feature: it sterically forces the phenyl ring into an orthogonal conformation relative to the imidazoline ring—critical for GPCR target recognition—while simultaneously blocking ortho-hydroxylation by CYPs. Furthermore, the secondary aniline moiety is heavily shielded by the adjacent halogens, significantly mitigating the risk of bioactivation to reactive intermediates (e.g., hydroxylamines) typically associated with anilines. The basic imidazoline (pKa ~8) provides the essential charge for target binding. Given the extremely high ligand efficiency and the anticipated microgram dosing regimen, systemic liabilities such as hERG inhibition (which typically requires a larger hydrophobic footprint and a distinct spacer) and idiosyncratic DILI are virtually eliminated. Tox Summary: Clean.",High,None significant (secondary aniline is sterically shielded by ortho-chlorines),0.92,"Excellent physicochemical properties and extremely low anticipated dose mitigate systemic toxicity, hERG, and DILI risks. The sterically hindered aniline poses minimal bioactivation risk.",0.85,High ligand efficiency and perfect CNS MPO parameters guarantee excellent blood-brain barrier penetration and central target engagement.,0.82,"The microgram dosing paradigm and lack of reactive metabolites provide a highly favorable chronic safety profile, with the primary focus being on-target pharmacology management.",0.64124,ELITE,"The target class (alpha-2 agonism) is deeply validated for CNS indications, operating via presynaptic autoreceptors to dampen sympathetic outflow and modulate neurotransmitter release. The mechanism has a rich clinical precedent with multiple successful agents across various CNS disorders. The structural footprint is exceptionally small (MW < 250) and lipophilic, guaranteeing excellent blood-brain barrier penetration without the need for massive systemic exposures to drive central target engagement. Given the high potency typical of this imidazoline-based pharmacophore, the anticipated clinical dose will be in the microgram to very low milligram range. This renders the hepatic burden and idiosyncratic DILI risk virtually non-existent. While on-target pharmacology (sedation, bradycardia, hypotension) must be monitored, these effects are well-characterized, predictable, and highly manageable through careful dose titration."
Modafinil,,Wakefulness agent,DAT inhibition and modulation of glutamatergic/GABAergic circuits,Narcolepsy,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-UHFFFAOYSA-N,4236,OK,1998.0,55,"The molecule is a compact, non-basic benzhydryl sulfinylacetamide. The absence of a basic amine is a glaring anomaly for a monoamine transporter modulator, directly explaining the low target affinity and the consequent high clinical dose requirement highlighted in the biological advisory. While the physicochemical properties (MW < 280, TPSA ~79, low cLogP) are well within optimal CNS MPO space, the reliance on a high mass-to-target ratio shifts the risk profile from target-based toxicity to metabolic and hepatic burden. The sulfoxide moiety is metabolically vulnerable to both oxidation (to sulfone) and reduction (to sulfide), while the primary amide is highly susceptible to hydrolysis. At the required high doses, this massive metabolic flux through CYP and amidase pathways significantly elevates the risk of CYP auto-induction (likely via PXR/CAR activation by the benzhydryl system) and idiosyncratic DILI. The structure is devoid of classic hERG or MBI alerts, but the sheer xenobiotic load required for efficacy is a fundamental developability flaw. Tox Summary: Clean structurally, but high-dose metabolic burden presents a significant DILI and CYP induction risk.",Medium,"None strictly toxic, but the benzhydryl motif at high doses risks PXR/CAR activation leading to CYP induction.",0.75,"Absence of hERG pharmacophores or MBI alerts suggests acceptable acute safety, though the high dose required may lead to Cmax-driven tolerability issues.",0.5,"The lack of a basic amine severely limits target affinity, requiring massive doses to force CNS occupancy, which introduces significant pharmacokinetic variability and efficacy risks.",0.35,"Chronic administration of high-dose xenobiotics with multiple metabolic soft spots (sulfoxide, amide) carries a substantial risk of CYP induction and idiosyncratic DILI over decades of exposure.",0.13125,CAUTION,"The therapeutic hypothesis for atypical wakefulness agents relies on low-affinity monoamine modulation (e.g., atypical DAT inhibition) to promote alertness without the severe sympathomimetic and addictive liabilities of classic amphetamines. While functionally validated and avoiding the clinical graveyards of neurodegeneration, this mechanism inherently requires a high clinical dose (likely >100 mg/day) to achieve sufficient CNS occupancy without sharp, euphoria-inducing Cmax spikes. Chronic administration of high-dose xenobiotics for non-lethal CNS conditions carries an unavoidable hepatic burden, potential for CYP enzyme induction, and idiosyncratic DILI risk over decades of exposure. The biology is viable, but the mass-to-target ratio required for efficacy introduces a moderate dose-burden concern."
Gabapentin,,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),C1CCC(CC1)(CC(=O)O)CN,UGJMXCAKCUNAIE-UHFFFAOYSA-N,3446,OK,1993.0,10,"The molecule is a highly polar, low-molecular-weight (MW < 200) gamma-amino acid derivative featuring a spiro-fused cyclohexane ring. Under standard CNS multiparameter optimization (MPO), the zwitterionic nature at physiological pH (primary amine and carboxylic acid) and sub-zero cLogP would typically result in a severe penalty for lack of passive blood-brain barrier permeability. However, as highlighted in the biological advisory, this specific chemotype is a deliberate structural mimic of endogenous amino acids, designed to hijack carrier-mediated transport (e.g., LAT1) to achieve CNS penetration. This is an elegant circumvention of standard Lipinski/CNS rules. Metabolically, the molecule is essentially inert. The complete absence of lipophilic surface area and the zwitterionic state render it a non-substrate for hepatic CYP450 enzymes, guaranteeing renal excretion as the primary clearance pathway. This pharmacokinetic profile completely neutralizes the DILI risk normally associated with the high clinical doses required for this target class. Furthermore, the structure is devoid of any hERG pharmacophore (lacking the requisite hydrophobic tail) and contains no mechanism-based inactivation (MBI) or fragment tox alerts. Tox Summary: Clean.",High,None,0.95,"Exceptional safety profile. The zwitterionic nature and lack of lipophilicity ensure it bypasses hepatic metabolism entirely, eliminating CYP-mediated drug-drug interactions and hepatotoxicity. No hERG or MBI liabilities.",0.85,Target engagement in the CNS is highly probable due to validated active transport mechanisms (LAT1) that compensate for the lack of passive permeability. The spiro-cyclohexane provides necessary steric bulk for target receptor interaction.,0.85,"Chronic safety is strongly supported by the renal clearance pathway and absence of reactive metabolite formation. The primary risk is on-target, dose-dependent CNS depression, which is clinically manageable.",0.686375,ELITE,"The target mechanism—calcium channel modulation in the CNS—is deeply validated for dampening aberrant neuronal excitability by reducing presynaptic calcium influx and subsequent excitatory neurotransmitter release. The structural profile reveals a highly polar, amino acid-like small molecule. While such polarity typically dictates poor passive blood-brain barrier permeability and necessitates high clinical doses to achieve efficacy, molecules of this specific chemotype reliably hijack active transport mechanisms (e.g., LAT1) for CNS entry. Crucially, despite the anticipated high dose burden (>300mg/day), this structural class is typically excreted entirely unchanged via renal filtration. By completely bypassing hepatic CYP450 metabolism, the classic high-dose DILI risk is virtually eliminated. On-target adverse events will be limited to predictable, dose-dependent CNS depression (somnolence, dizziness), which is highly manageable in clinical practice."
Felbamate,,GABA/Glutamate modulator,NMDA receptor antagonist and GABA$_A receptor potentiation,Epilepsy,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,WKGXYQFOCVYPAC-UHFFFAOYSA-N,3331,OK,1993.0,95,"The molecule is a structurally primitive phenyl-dicarbamate with severe physicochemical and metabolic liabilities. For a CNS indication, the presence of two primary carbamates yields an unacceptably high hydrogen bond donor count (HBD=4) and TPSA (>100 Å²), which will severely restrict blood-brain barrier (BBB) permeability. To achieve target engagement, massive systemic doses will be required. This high-dose requirement synergizes catastrophically with the molecule's metabolic fate: carbamate hydrolysis yields a 1,3-diol, which undergoes rapid oxidation to highly reactive, electrophilic aldehyde intermediates. At multi-gram exposures, these electrophiles will rapidly deplete hepatic glutathione (GSH), leading to widespread covalent protein adduction, idiosyncratic Drug-Induced Liver Injury (DILI), and severe hematological toxicity (aplastic anemia). The lack of structural complexity also guarantees poor Lipophilic Efficiency (LipE) and off-target promiscuity. Tox Summary: Not Clean.",Low,"['Primary carbamates (hydrolysis liability)', '1,3-aliphatic diol backbone (oxidation to reactive electrophilic aldehydes)']",0.1,"Massive dose requirements coupled with the generation of reactive aldehyde metabolites present an extreme risk for acute and sub-acute toxicity, including GSH depletion and hepatotoxicity.",0.2,Poor BBB permeability (HBD=4) and low intrinsic affinity (primitive scaffold) make achieving sufficient CNS target occupancy highly improbable without dose-limiting systemic toxicity.,0.01,"Chronic administration at the required high doses guarantees idiosyncratic toxicity, specifically DILI and bone marrow suppression (aplastic anemia), rendering commercial viability near zero.",0.0002,TERMINATE,"This is a classic low-affinity, high-capacity CNS depressant scaffold. The simple phenyl-dicarbamate structure dictates extremely poor target potency, meaning clinical efficacy will require massive doses—likely in the multi-gram per day range—to force sufficient CNS penetrance and target occupancy. Pumping grams of this xenobiotic through the liver daily is a catastrophic liability. Carbamate hydrolysis followed by oxidation of the aliphatic backbone will inevitably generate highly reactive, electrophilic aldehyde intermediates. In a high-dose setting, this guarantees glutathione depletion, leading directly to idiosyncratic Drug-Induced Liver Injury (DILI) and severe hematological toxicity (aplastic anemia/bone marrow suppression). Furthermore, broad-spectrum GABA/Glutamate modulation at high exposures carries a narrow therapeutic index, risking severe ataxia, sedation, and psychotomimetic effects. The biological mechanism is validated for CNS excitability, but the required dose-burden makes the toxicity profile entirely unacceptable."
Ethosuximide,,T-type calcium blocker,T-type voltage-gated Ca2+ channels,Epilepsy,Approved,1960,,,approved,CNS,,approved_control,Approved controls (success),CCC1(CC(=O)NC1=O)C,HAPOVYFOVVWLRS-UHFFFAOYSA-N,3291,OK,1960.0,35,"This molecule is essentially a fragment rather than a fully elaborated drug. With a molecular weight under 150 Da and a cLogP near zero, it boasts an impeccable CNS MPO profile (TPSA ~46 Å², HBD=1), ensuring rapid and unhindered blood-brain barrier penetration. However, from a thermodynamic perspective, this extreme simplicity is a severe liability. The absence of extended binding vectors or hydrophobic surface area guarantees weak intrinsic affinity. As noted in the biological advisory, driving sufficient CNS target occupancy will demand massive, gram-scale clinical dosing. Ordinarily, such a high dose burden would trigger an automatic DILI hard-kill. Yet, this purely aliphatic, quaternary-substituted imide scaffold is exceptionally clean. It lacks any structural alerts for mechanism-based inactivation or reactive metabolite formation. The primary metabolic soft spot is simple CYP-mediated aliphatic hydroxylation of the ethyl group. Furthermore, it is completely devoid of hERG liability, lacking both a basic center and lipophilic bulk. The primary developability hurdle is the therapeutic index: balancing the massive exposure required for efficacy against dose-limiting CNS depression and GI intolerance. Tox Summary: Clean.",Medium,None,0.85,Chemically pristine scaffold with zero hERG or reactive metabolite alerts. High dose tolerability (GI/osmotic effects) is the only early safety hurdle.,0.45,"Weak intrinsic affinity requires massive systemic exposure to achieve target engagement, risking dose-limiting off-target CNS depression before efficacy is reached.",0.65,"Lack of bioactivation pathways and low lipophilicity significantly de-risk chronic idiosyncratic toxicity, even at high doses.",0.248625,ELITE,"The biological rationale for targeting T-type calcium channels in the CNS is rock-solid. These low-voltage-activated channels are fundamental drivers of thalamocortical burst firing, making them highly validated targets for excitability disorders. The mechanism class has deep precedent and low biological uncertainty. However, from a clinical pharmacology perspective, this molecule is exceptionally small (MW < 150), which guarantees weak intrinsic affinity. To drive sufficient CNS target occupancy, this will require massive clinical doses (likely >500 mg to grams per day). While a high dose burden usually guarantees a DILI hard-kill, this specific aliphatic scaffold is devoid of structural alerts for reactive metabolites, likely sparing the liver. Instead, the clinical attrition risk is entirely driven by the therapeutic index: achieving efficacy before the massive systemic exposure causes dose-limiting CNS depression (ataxia, sedation) or severe GI intolerance."
